,Content ID,Reaction Type,Month,Datetime,Content Type,Category,Sentiment,Score,,,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,November,07/11/2020 09:43,photo,studying,negative,0,,,,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,June,17/06/2021 12:22,photo,studying,negative,10,,,,
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,April,18/04/2021 05:13,photo,studying,negative,15,,,,
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,January,06/01/2021 19:13,photo,studying,negative,0,,,mon,sum_score
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,August,23/08/2020 12:25,photo,studying,positive,30,,,January,82938
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,December,07/12/2020 06:27,photo,studying,neutral,35,,,February,75509
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,April,11/04/2021 17:35,photo,studying,positive,70,,,March,78915
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,January,27/01/2021 08:32,photo,studying,negative,5,,,April,78583
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,April,01/04/2021 22:54,photo,studying,neutral,35,,,May,86293
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,August,04/08/2020 05:05,photo,studying,positive,65,,,June,80359
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,November,07/11/2020 08:36,photo,studying,neutral,20,,,July,82464
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,November,02/11/2020 06:28,photo,studying,negative,15,,,August,82146
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,November,01/11/2020 01:16,photo,studying,positive,30,,,September,80077
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,October,07/10/2020 18:39,photo,studying,negative,5,,,October,82810
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,September,03/09/2020 18:51,photo,studying,negative,15,,,November,82333
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,February,24/02/2021 05:09,photo,studying,positive,75,,,December,81128
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,September,23/09/2020 06:24,photo,studying,neutral,35,,,,
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,February,24/02/2021 11:37,photo,studying,neutral,20,,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,May,22/05/2021 19:44,photo,studying,positive,30,,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,January,31/01/2021 16:03,photo,studying,positive,45,,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,November,20/11/2020 17:26,photo,studying,neutral,35,,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,April,11/04/2021 20:47,photo,studying,negative,12,,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,June,13/06/2021 16:46,photo,studying,positive,50,,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,April,11/04/2021 14:29,photo,studying,positive,60,,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,March,02/03/2021 19:21,photo,studying,negative,12,,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,June,27/06/2020 18:44,photo,studying,negative,5,,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,May,09/05/2021 21:05,photo,studying,negative,5,,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,August,04/08/2020 23:58,photo,studying,positive,70,,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,August,28/08/2020 03:57,photo,studying,positive,75,,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,August,25/08/2020 08:21,photo,studying,positive,45,,,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,April,20/04/2021 23:48,photo,studying,negative,15,,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,March,07/03/2021 12:40,photo,studying,positive,30,,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,May,24/05/2021 03:21,photo,studying,neutral,20,,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,January,24/01/2021 11:03,photo,studying,positive,75,,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,April,09/04/2021 02:46,photo,studying,negative,0,,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,February,02/02/2021 03:43,photo,studying,positive,75,,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,February,04/02/2021 03:06,photo,studying,positive,30,,,,
